,mean_fpr,mean_tpr,tprs_lower,tprs_upper
0,0.0,0.0,0.0,0.0
1,0.010101010101010102,0.04396896656155917,0.00011993945679098644,0.08781799366632737
2,0.020202020202020204,0.07923923984109167,0.01934509493887719,0.13913338474330617
3,0.030303030303030304,0.11475609267275937,0.0521382837856178,0.17737390155990093
4,0.04040404040404041,0.16225967345411788,0.08892210612585048,0.23559724078238525
5,0.05050505050505051,0.19536556036556035,0.11798328364192903,0.2727478370891917
6,0.06060606060606061,0.2311367911923467,0.15106316196261763,0.3112104204220758
7,0.07070707070707072,0.25544561895090995,0.17859269417125417,0.3322985437305657
8,0.08080808080808081,0.2784787659919935,0.20511347504315397,0.35184405694083304
9,0.09090909090909091,0.3012533269199936,0.21946041723186122,0.38304623660812603
10,0.10101010101010102,0.3158292168345079,0.23244803538111453,0.3992103982879012
11,0.11111111111111112,0.3342811511435848,0.24948669155312553,0.4190756107340441
12,0.12121212121212122,0.3515000229047848,0.26597146359130075,0.4370285822182689
13,0.13131313131313133,0.3624281928633779,0.27384381877534025,0.45101256695141556
14,0.14141414141414144,0.37058612135463975,0.28351559255484327,0.45765665015443624
15,0.15151515151515152,0.3785537918871252,0.2912666630393914,0.46584092073485894
16,0.16161616161616163,0.38759098925765584,0.30088565894955654,0.47429631956575513
17,0.17171717171717174,0.3969816551760995,0.30994798951496016,0.48401532083723886
18,0.18181818181818182,0.40594035594035593,0.31679651265957104,0.49508419922114083
19,0.19191919191919193,0.4176997488108597,0.3224338008748315,0.512965696746888
20,0.20202020202020204,0.4218681524237078,0.3245722669115098,0.5191640379359057
21,0.21212121212121213,0.43110606060606055,0.3343855799695398,0.5278265412425813
22,0.22222222222222224,0.4439492455418381,0.34871048205639316,0.5391880090272831
23,0.23232323232323235,0.45698149038889757,0.36220748123166957,0.5517554995461256
24,0.24242424242424243,0.46562343006787443,0.37181941265035745,0.5594274474853914
25,0.25252525252525254,0.4791817202002386,0.3881911199622481,0.5701723204382291
26,0.26262626262626265,0.4904378306878307,0.39548147708812387,0.5853941842875375
27,0.27272727272727276,0.5024249238415903,0.4029233760210205,0.6019264716621601
28,0.2828282828282829,0.5104034569682717,0.41041397471414576,0.6103929392223977
29,0.29292929292929293,0.5233074350203981,0.4217919066638378,0.6248229633769584
30,0.30303030303030304,0.5360207899096789,0.43316271769193126,0.6388788621274266
31,0.31313131313131315,0.5458976582402509,0.4412811582855236,0.6505141581949783
32,0.32323232323232326,0.5589135000801668,0.4561653861113551,0.6616616140489786
33,0.33333333333333337,0.5687777777777777,0.4664147296248742,0.6711408259306813
34,0.3434343434343435,0.5807708478078848,0.47862909514232216,0.6829126004734474
35,0.3535353535353536,0.5907674585359771,0.4901846146595749,0.6913503024123793
36,0.36363636363636365,0.6050105820105819,0.5139312624709903,0.6960899015501735
37,0.37373737373737376,0.613952554646999,0.5250346265503291,0.702870482743669
38,0.38383838383838387,0.6214633994263624,0.5289065994785316,0.7140201993741933
39,0.393939393939394,0.6314555609000052,0.5377162612320714,0.725194860567939
40,0.4040404040404041,0.6395182201200719,0.5435090137817956,0.7355274264583481
41,0.4141414141414142,0.6504374877523026,0.5550290924423267,0.7458458830622785
42,0.42424242424242425,0.6630437309603976,0.5692304008179137,0.7568570611028815
43,0.43434343434343436,0.6736379287966591,0.5850385893123085,0.7622372682810097
44,0.4444444444444445,0.6803083270345176,0.5924566609945605,0.7681599930744747
45,0.4545454545454546,0.6902394008108296,0.6012279099002678,0.7792508917213914
46,0.4646464646464647,0.7018080407247076,0.6119073683207673,0.7917087131286479
47,0.4747474747474748,0.7094480824877653,0.6204386304260142,0.7984575345495163
48,0.48484848484848486,0.7199878012933568,0.6344913310166779,0.8054842715700358
49,0.494949494949495,0.7270967968930933,0.6449236939143616,0.809269899871825
50,0.5050505050505051,0.7470430495430496,0.6696473259427668,0.8244387731433324
51,0.5151515151515152,0.7516201699535032,0.677494926092011,0.8257454138149954
52,0.5252525252525253,0.757200577200577,0.6817495019237242,0.8326516524774298
53,0.5353535353535354,0.7643011686530204,0.6929986801801391,0.8356036571259018
54,0.5454545454545455,0.7721334375501041,0.7038911478965786,0.8403757272036296
55,0.5555555555555556,0.7811147854203406,0.7124143622120428,0.8498152086286385
56,0.5656565656565657,0.7954889503500613,0.7244000490169281,0.8665778516831945
57,0.5757575757575758,0.8004980359147024,0.7303782222225679,0.8706178496068369
58,0.5858585858585859,0.8049686904316533,0.7359793593090317,0.8739580215542749
59,0.595959595959596,0.8106338962820443,0.743446558132401,0.8778212344316876
60,0.6060606060606061,0.8134800384800385,0.7472810901835804,0.8796789867764966
61,0.6161616161616162,0.8178679653679656,0.7548004866004813,0.8809354441354499
62,0.6262626262626263,0.8218471086526645,0.7601475634640286,0.8835466538413005
63,0.6363636363636365,0.826835016835017,0.7629900598180921,0.890679973851942
64,0.6464646464646465,0.8310863106372368,0.7676662024033113,0.8945064188711623
65,0.6565656565656566,0.8361354239039425,0.7720971377536369,0.9001737100542481
66,0.6666666666666667,0.8404572625346435,0.7742256540041752,0.9066888710651118
67,0.6767676767676768,0.8447719745960488,0.7776286372790708,0.9119153119130268
68,0.686868686868687,0.8527134360103937,0.7936325653032154,0.9117943067175721
69,0.696969696969697,0.8575326965803154,0.7967022427699405,0.9183631503906903
70,0.7070707070707072,0.8654735946005786,0.8019446801454577,0.9290025090556995
71,0.7171717171717172,0.8700263214152103,0.8054634475500414,0.9345891952803792
72,0.7272727272727273,0.8763064746100462,0.8134194114678424,0.93919353775225
73,0.7373737373737375,0.8831885464623563,0.8224589225869022,0.9439181703378104
74,0.7474747474747475,0.8923636544965912,0.8335571800988453,0.951170128894337
75,0.7575757575757577,0.8981117009093204,0.8400417556954589,0.9561816461231818
76,0.7676767676767677,0.9047545093795095,0.8458918294191275,0.9636171893398915
77,0.7777777777777778,0.9097142857142859,0.8511653019127917,0.9682632695157801
78,0.787878787878788,0.9149523007856343,0.858980957432781,0.9709236441384875
79,0.797979797979798,0.9193434254360184,0.8634274185882254,0.9752594322838115
80,0.8080808080808082,0.9254126360607846,0.8695910553532181,0.9812342167683511
81,0.8181818181818182,0.9319161054994392,0.8835226306120632,0.9803095803868151
82,0.8282828282828284,0.9394893378226713,0.895051296224861,0.9839273794204816
83,0.8383838383838385,0.9457564088860388,0.9011113110586922,0.9904015067133854
84,0.8484848484848485,0.9515326011437125,0.9098393040802836,0.9932258982071415
85,0.8585858585858587,0.9544413981080652,0.9129983426636807,0.9958844535524496
86,0.8686868686868687,0.9602111280352026,0.9219519973083763,0.9984702587620289
87,0.8787878787878789,0.9646210785099677,0.9281958240193576,1.0
88,0.888888888888889,0.9669642857142858,0.9319918157428542,1.0
89,0.8989898989898991,0.9694815883704774,0.9351352081314834,1.0
90,0.9090909090909092,0.9738606301106303,0.9417812006535754,1.0
91,0.9191919191919192,0.9789286382341941,0.9497586786029404,1.0
92,0.9292929292929294,0.9819651764559174,0.9545088559408621,1.0
93,0.9393939393939394,0.9853159905937686,0.9599148259263618,1.0
94,0.9494949494949496,0.9907768157768159,0.9718849554707862,1.0
95,0.9595959595959597,0.9923448773448774,0.9751915509427348,1.0
96,0.9696969696969697,0.9936604136604137,0.9787269746109656,1.0
97,0.9797979797979799,0.9955806744695634,0.9824812760666584,1.0
98,0.98989898989899,0.9973196248196249,0.9857087294478866,1.0
99,1.0,1.0,1.0,1.0
